category,english,lummi,part_of_speech,context_notes,source,eng_tokens,lummi_tokens
vocabulary,a dressed skin,hül-la-kan,noun,,original,3,1
vocabulary,above,se-suk′tl,noun,,original,1,1
vocabulary,adze,s'chüm′mün,noun,,original,1,1
vocabulary,afraid,sái-sin,noun,,original,1,1
vocabulary,after,il-kwâ-wüs,noun,,original,1,1
vocabulary,afternoon,Skwey'el,noun,,original,1,1
vocabulary,alder,skwang-l'tch,noun,,original,1,1
vocabulary,alive,"hal-ikh, hal-lé",noun,,original,1,2
vocabulary,all,"makw, mokw",noun,,original,1,2
vocabulary,also,Tl'al,noun,,original,1,1
vocabulary,always,"wai, wa-hái, o-wái-la;",noun,,original,1,3
vocabulary,am,Do,noun,,original,1,1
vocabulary,and,I,noun,,original,1,1
vocabulary,and you,I' tse nekw,noun,,original,2,3
vocabulary,anemone,SLhoLex,noun,,original,1,1
vocabulary,angry,kwin-tün,noun,,original,1,1
vocabulary,animals,TetoseLnexw,noun,,original,1,1
vocabulary,arbutus ( a. menzesii ),kō-kwéltsh,noun,,original,5,1
vocabulary,arm,ta′lo;,noun,,original,1,1
vocabulary,arrow,yitcht,noun,,original,1,1
vocabulary,ashes,kwái-chp,noun,,original,1,1
vocabulary,at,"_to be at_, lä-si _or_ lak-si;",noun,,original,1,6
vocabulary,atlas joint,kük-kak-w'chis,noun,,original,2,1
vocabulary,aunt,shé-ilsh,noun,,original,1,1
vocabulary,autumn,"chits-at-lin, tsa-whéngst",noun,,original,1,2
vocabulary,axe,"ku′küm. (küm-müt, _to chop_.)",noun,,original,1,4
vocabulary,back,"_the_, stas-kwitl",noun,,original,1,2
vocabulary,bad,"h'äs, s'häs",noun,,original,1,2
vocabulary,bag  or sack,chu-kwal′,noun,,original,3,1
vocabulary,bail a boat,"_to_, chi-kwást;",noun,,original,3,2
vocabulary,( in simiamoo ),kwül′lüt,noun,,original,4,1
vocabulary,bald,ko′a-lekw,noun,,original,1,1
vocabulary,bald eagle,yükh-wül-la,noun,,original,2,1
vocabulary,barberry,skwâ-cha-sitsh,noun,,original,1,1
vocabulary,bark,"_of the fir_, chül′li;",noun,,original,1,4
vocabulary,barnacle,süm-mai-ya,noun,,original,1,1
vocabulary,barnacles,Tsemie,noun,,original,1,1
vocabulary,basket,"_potato basket_, kl-päk;",noun,,original,1,3
vocabulary,be,"_to_, _See ""at,"" ""live.""_",verb,,original,1,4
vocabulary,be quiet,semexw,verb,,original,2,1
vocabulary,beach birds,"small snipe (_?generic_), pel-latsh, skeks",noun,,original,2,5
vocabulary,beads,"_large blue kind_, shkwe′-kwün;",noun,,original,1,4
vocabulary,beak,nük′sünsh (v. _nose_),noun,,original,1,3
vocabulary,bear,"_black_, schüt′hün;",noun,,original,1,2
vocabulary,beard,kwin′s'n;,noun,,original,1,1
vocabulary,beaver,skül-láu,noun,,original,1,1
vocabulary,before ( in point of time ),kwül-hés-lüt-sin,noun,,original,7,1
vocabulary,bellingham,Xwotqwem,noun,,original,1,1
vocabulary,belly,"kwül′la, kläs",noun,,original,1,2
vocabulary,below,kläkhl,noun,,original,1,1
vocabulary,berries,selhteneng,noun,,original,1,1
vocabulary,berries of do.,kül-lük,noun,,original,3,1
vocabulary,big horn ( ovis montana ),kwe-kwüt-chen,noun,,original,6,1
vocabulary,big sea urchin,Xaox,noun,,original,3,1
vocabulary,birch,kats-ül′tch,noun,,original,1,1
vocabulary,birch bay,Ts'awex,noun,,original,2,1
vocabulary,bird,"_water fowl_, mo′ōk;",noun,,original,1,3
vocabulary,birds,_parts of_:,noun,,original,1,2
vocabulary,bite,"_to_, tsing-ut-tüng",noun,,original,1,2
vocabulary,black,nük-kikh,noun,,original,1,1
vocabulary,black bear,Schetxwen,noun,,original,2,1
vocabulary,black cap,Chilqwome,noun,,original,2,1
vocabulary,blackberries,SqeLaLnexw,noun,,original,1,1
vocabulary,blanket,"_feather blanket_ (_a native manufacture_), stüm-mo-whitl;",noun,,original,1,6
vocabulary,blaze,"_to_, hu-tâ-ku",noun,,original,1,2
vocabulary,blind,klä-litsh,noun,,original,1,1
vocabulary,blood,säs-tchin,noun,,original,1,1
vocabulary,blow  with the breath,"_to_, pa′-hwt;",noun,,original,4,2
vocabulary,blue,chi-á-lis;,noun,,original,1,1
vocabulary,blue berry,MoLsem,noun,,original,2,1
vocabulary,blue heron,snekwe,noun,,original,2,1
vocabulary,blue jay,chi-ya,noun,,original,2,1
vocabulary,board,"_planks_, sél-to",noun,,original,1,2
vocabulary,bob cat,Kwechpish,noun,,original,2,1
vocabulary,boil,"_to_, kwül-lüs′",noun,,original,1,2
vocabulary,bone,"sōm, s'ham",noun,,original,1,2
vocabulary,bore,"_to_, _as with a gimlet_, slük′-wüt, nük-slük′wüt",noun,,original,1,7
vocabulary,bosom ( female ),sküm′ma,noun,,original,4,1
vocabulary,both do.,skül′la-hans,noun,,original,2,1
vocabulary,bow,tsá-cha-sen,noun,,original,1,1
vocabulary,bowl,lo'sen,noun,,original,1,1
vocabulary,bowsman,"_of canoe_, he′u",noun,,original,1,3
vocabulary,box  or chest,kla-yüks,noun,,original,3,1
vocabulary,boy,"s'ch-chi-álkh, schi′atl, stet-látkl",noun,,original,1,3
vocabulary,bracelets,"_of brass wire_, tsa-met-chin",noun,,original,1,4
vocabulary,brain,smet-küs,noun,,original,1,1
vocabulary,brake fern,sük-ka-an′,noun,,original,2,1
vocabulary,brant,lholi,noun,,original,1,1
vocabulary,brant ( bernicla ),"hül-hül′tsh, hül-hül′cha",noun,,original,4,2
vocabulary,bread,"_baked_, tau′ükh",noun,,original,1,2
vocabulary,break,"_to_, (_broken_), ti-kwüt-tüng",noun,,original,1,3
vocabulary,breast ( chest ),tsüng′ütl,noun,,original,4,1
vocabulary,breeze,PexwiLe,noun,,original,1,1
vocabulary,bring,"_to_, an-ákh-hu",verb/gerund,,original,1,2
vocabulary,broad,nükh-hwái-ük-w'tl,noun,,original,1,1
vocabulary,brother,"_elder_, shi-itlkh;",noun,,original,1,2
vocabulary,brother-in-law,_idem (?)_,noun,,original,1,2
vocabulary,brown,Nekwiem,noun,,original,1,1
vocabulary,buck,"sist-ün, _i.e._ ""horned.""",noun,,original,1,3
vocabulary,burn,"_I_, chükw′ sin;",noun,,original,1,3
vocabulary,bury,"_to_, (_to cache_), as-chá-nütl",noun,,original,1,4
vocabulary,butter clam,Soxwe,noun,,original,2,1
vocabulary,buy,"_to_, (_to trade or barter_), hwái-üm;",noun,,original,1,6
vocabulary,bye and bye,o-wäs-hés,noun,,original,3,1
vocabulary,calorhynchus,skwâ-ma,noun,,original,1,1
vocabulary,canada goose,ákh-ha,noun,,original,2,1
vocabulary,canadian goose,Tl'akweng,noun,,original,2,1
vocabulary,canoe,Snekwlh,noun,,original,1,1
vocabulary,canoe ( generic ),skwâlkh;,noun,,original,4,1
vocabulary,canvass back ( aythya ),hókh-ko-nitsh,noun,,original,5,1
vocabulary,carry,"_to_, süng-at′;",noun,,original,1,2
vocabulary,cat-tail rush,s_á_-kün,noun,,original,2,1
vocabulary,cattail mat,Slawen,noun,,original,2,1
vocabulary,cedar,"(_Thuja_), h'pai",noun,,original,1,2
vocabulary,cedar ( thuja ),h'chá-chiltsh,noun,,original,4,1
vocabulary,cedar bark,shl-kōm,noun,,original,2,1
vocabulary,cedar basket,Mehoy',noun,,original,2,1
vocabulary,cedar mat,Ts'emet,noun,,original,2,1
vocabulary,certainly,"_of course_, ho′wüs",noun,,original,1,3
