english,lummi
(_Mergus Serrator_),sküm-mätsh
(_T. Migrat._),tsel-tcha
(_the face_),tsük-wá-süng;
(_clothes_),tsük-ül-kwo′-tüng;
(_the hands_),chékw-sim
(_in Simiamoo_),kwül′lüt
0,Ewene
1,Nets'e
1,nüt′sa
1,tsak′wüt-hu
1,nat′sa
10,O'pen
10,o′pün
10,o-pün-ä-la
10,o-pün-ält-hu
100,nat-sa-wütsh
100,Nachewech
1000,Sepanech
1000,o-päntsh
11,O'pen i'tse nets'e
11,ó-pün it nüt′sa
12,ó-pün it chüs′sa
2,chüs′sa
2,chá-sa
2,tch's-sält-hu
2,Chese
20,tsū-kw-sält-hu
20,Ts'ekwes
20,"tsük-küs, tsük-wüs"
20,nt-su-ku-sä-la
3,kl-whái-la
3,Lhixw
3,kl-whält-hu
3,klikhw
30,kl-whl-shá
30,Lhexw-sha'
4,Ngos
4,ng-oss′
4,sält-hu
4,ni-sä-la
40,nüsl-shá
40,Ngeselh-sha
5,Lhqachs
5,kl-kats′
5,hl'-katch-sä′la
5,kütch-sält-hu
50,Lhqelh-sha
50,küts'hl-shá
6,tükh-hüng-ä-la
6,t'hünkh
6,tükh-hüng-ält-hu
6,Texeng
60,tükh-hüm-shá
60,Texemelh-sha
7,Ts'okws
7,tsákws
7,sük-sält-hu
7,tsük-sä-la
70,Ts'okelh-sha
70,skwl-shá
8,Ta'as
8,tüs-sält-hu
8,tüs-sä-la
8,tats
80,tüsl-shá
80,Ta'aselh-sha
9,Tekwxw
9,tük-whält-hu
9,tük'hw
9,tük-hwä-la
90,to-wol-shá
90,Tekwelh-sha
A dressed skin,hül-la-kan
A lot,Ngen
A Spear,Motelh
ABOVE,se-suk′tl
ADZE,s'chüm′mün
Adze,Schemen
AFRAID,sái-sin
Afraid,Sa'se'si
After,CheLaw
AFTER,il-kwâ-wüs
Afternoon,Skwey'el
Again,Kelaet
Alder,s'kwáng-ültsh
ALDER,skwang-l'tch
Alder Tree,Sqwong-ilhch
ALIVE,"hal-ikh, hal-lé"
ALL,"makw, mokw"
Also,Tl'al
ALWAYS,"wai, wa-hái, o-wái-la;"
Anemone,SLhoLex
ANGRY,kwin-tün
Animals,TetoseLnexw
Ant,Chechemetsene
Arbutus (_A. Menzesii_),kō-kwéltsh
Are you going outside now?,Kw' - Ya' -e-sxw Esaq'Lh
Are you just good?,U' ey'-e-sxw-ol
Arm,Talew
ARM,ta′lo;
