lummi_sentence,english_sentence
(William Arthur James),The ‘> «or the glottal stop.
ee,In Xwlemi)chosen the vowels are pronounced as follows:
The i seund.,This sound is pronounced like the letter e or like the
),"Siditu = Truly, Extremely, really."
really good,To make a word stronger you stretch out your words.
The e sound,In Xwlemi we use the e scurnd as Whoo for example like the
Seunds like,Tse = The tsuh
cheseé = Twa chusi,This is one of the most important sounds to remember.
The a saund,In Xwlemi we use the ec like the a in father.
EXAMPLES:,nges = four 3
nos fat,sp>cho>) = Water Tight root basket.
The a sound.,This sound is like the a in cat.
EXAMPLES:,slawern = Cattail mat.
cha wy = Dish,"Remember the glattal stap > a shorter sound,"
The u sound.,In Xwlemi the u sound is like the wu in the word tube.
Mus Mus cow,ke shu = pig
che from,"| xin, ex’in where"
—SxKW yeu,“@-SxkW end of sentence were you
ere you etc.,"> am, are, do"
-ser I,"kw invisible the, a"
la> there,"e at, on, in ete."
"ol Just ,","estl’otl’em alright, ok, etc."
i> and,"-s he, she, it, or his, hers, its"
ch’,kw’ kw’? aten p’ owi)
kwelengsen,ch’ ewi) ch’ axen
qiw) x,(Sea Gull) (Killer Whale)
t!,tl’ ay) tsidtset tsem ts’ep ts’ i)dosen
xw,xwid kw’ es xw’ ong x? wixw! ieye
1h,@ Sounds like the a in Cat
lhaoqem,e Sounds like the u in Tub
(Mussels) .,i Sounds like the ea in Ea t
exercise # i,The vowels sounds like letters underlined
"Peae [wae [eae [rather] ""eee |","> = a shorter, sharper, sound. (almost a clicking sound)"
(called a glettal stop.),QqQ = remember this sound is like a k saund.
lh = replaces the f ),THESE SOUNDS ARE THE MOST IMPORTANT TO LEARN IN ORDER TO USE
"bark, fir tree",basket - carrying strap
basket - Small,"basket, water tight Cedar rest"
bat tanimal>,"he careful, watch out"
beach,beads ~ cobalt blue Hudson Ray
beads ~- small green,beads ~ small white
berry - blackberry,berry - blackcap berry
"better, your better","be, t > be at"
bird —- beak,bird - black duck
bird - blue bill,bird - bluie jay
bird —- brant,bird - butter ball
bird - butter ball duck,bird - canada goanse
Bird - dawn,Jird -— duck General term
tsaexw,ts’ its’ ets’ em
ch’ ewidch’ax ern,kel lel a wih
hoakh ko nytsh,ts ka yis ty)
ek xes,"stly) pal kean, stakw"
ti’e xal,tk?e pal e’ xin
shidle kwens,hel hel oa wetl
mas ch,Kel lek tek sen
kla wek harm,ses 2 wak chele la
bird —- tail,bird —- teal |
bird - wirg,bird - wondpecker (1g)
bird - weedpecker (sm),"bird - woodpecker, flicker"
bird ~ wrer,bird ~- yellow shank snipe
blanket,blanket - blue in colar
blanket - feather,blanket ~ green-in colar
blanket - large and blue,Blanket - Mt. Goat/Dog wool
blanket - red in colar,blanket - White in colar
blicw,blow the your soup
blewing (windy?,"blow, ta blaw my"
boat,bady part. -— finger nail
