english,lummi
ABOVE,se-suk′tl
ADZE,s'chüm′mün
AFRAID,sái-sin
AFTER,il-kwâ-wüs
ALDER,skwang-l'tch
ALIVE,"hal-ikh, hal-lé"
ALL,"makw, mokw"
ALWAYS,"wai, wa-hái, o-wái-la;"
_always so_,wa-hái-yu shüng angs
ANGRY,kwin-tün
ARM,ta′lo;
_my arm_,n′ta′lo;
_right arm_,si-lä-me′ūs;
_left arm_,suk-kwe′ūs
ARROW,yitcht
ASHES,kwái-chp
AT,"_to be at_, lä-si _or_ lak-si;"
_he is at Lummi_,lä-si la Nūkh-lüm′mi
AXE,"ku′küm. (küm-müt, _to chop_.)"
BACK,"_the_, stas-kwitl"
BAD,"h'äs, s'häs"
BAG _or sack_,chu-kwal′
BAIL A BOAT,"_to_, chi-kwást;"
(_in Simiamoo_),kwül′lüt
BALD,ko′a-lekw
BARK,"_of the fir_, chül′li;"
_of the cedar_,sl-kwüm′
BASKET,"_potato basket_, kl-päk;"
_load basket_,s'pi-chä;
_small basket_,pep-chälkh
BEADS,"_large blue kind_, shkwe′-kwün;"
_small white do._,tsüts-hüt;
_small green beads_,tchi-kwül-lekh′
BE,"_to_, _See ""at,"" ""live.""_"
_It is in the house_,lâk-si á-lung
BEAR,"_black_, schüt′hün;"
_grizzly_,kwe′chin
BEARD,kwin′s'n;
_moustache_,kwinks
BEAVER,skül-láu
BEFORE (_in point of time_),kwül-hés-lüt-sin
BELLY,"kwül′la, kläs"
BELOW,kläkhl
BIRD,"_water fowl_, mo′ōk;"
_small birds_,tséts-at-süm
Eagles,"golden eagle, kwül′-lüng-sen;"
bald eagle,yükh-wül-la
Hawks,"pa-áls, tsekhw-tsükhw, tül-kwe′mitl, tsi-ha-litsh;"
sparrow hawk,süs-so-wak-chil-la
Owls,"great horned owl, che′-tüng-hu;"
small owl,kwai-el-hu
Woodpeckers,"logcock, skwül-lüt′tün;"
flicker (_P. Mexic._) tse′a,k't;
small woodpeckers,tsüt-tüng
Swift (_Cypselus_),kuk-sátch
Kingfisher,süs-she′la
