english,lummi
ABOVE,se-suk′tl
ADZE,s'chüm′mün
AFRAID,sái-sin
AFTER,il-kwâ-wüs
ALDER,skwang-l'tch
ALIVE,"hal-ikh, hal-lé"
ALL,"makw, mokw"
_always so_,wa-hái-yu shüng angs
ANGRY,kwin-tün
_left arm_,suk-kwe′ūs
ARROW,yitcht
ASHES,kwái-chp
_he is at Lummi_,lä-si la Nūkh-lüm′mi
BACK,"_the_, stas-kwitl"
BAD,"h'äs, s'häs"
BAG _or sack_,chu-kwal′
(_in Simiamoo_),kwül′lüt
BALD,ko′a-lekw
_of the cedar_,sl-kwüm′
_small basket_,pep-chälkh
_small green beads_,tchi-kwül-lekh′
_It is in the house_,lâk-si á-lung
_grizzly_,kwe′chin
_moustache_,kwinks
BEAVER,skül-láu
BEFORE (_in point of time_),kwül-hés-lüt-sin
BELLY,"kwül′la, kläs"
BELOW,kläkhl
_small birds_,tséts-at-süm
bald eagle,yükh-wül-la
sparrow hawk,süs-so-wak-chil-la
small owl,kwai-el-hu
small woodpeckers,tsüt-tüng
Swift (_Cypselus_),kuk-sátch
Kingfisher,süs-she′la
(_T. Migrat._),tsel-tcha
Warblers,hu-hwül-lüsh
Chickadee (_Parus_),ts-ka-yis
snow finch,tchi-sa-wütsh
Wren,te′ti-tüm
Raven,sku-takh
Fish Crow,sku-kwa′ta
Blue Jay,chi-ya
Magpie,s'hün′nün
Pigeon,hüm-ókh
Ruffed Grouse,"skwüts, skwüts′ha"
Dusky Grouse,ng'e′et
Sand-hill Crane,slem
Plover,chit-hün-natsh′
Oyster Catcher (_hematopus_),swó-kük
Yellow-shank Snipe,skük-ka′-ye
Beach Birds,"small snipe (_?generic_), pel-latsh, skeks"
Curlew,mük-mük-kwa
Swan,ho′ha-han
Snow Goose,"kla-wükh-han, kla-hwa′han"
Canada Goose,ákh-ha
Brant (_Bernicla_),"hül-hül′tsh, hül-hül′cha"
Mallard (_a. Boschas_),ti-nük-sen
Teal (_Nettion_),"hüs-natch, chil-si′set"
Shoveller (_Spatula_),klel-lük-tük-sen
