id,word_id,meaning
1,1,Audio
2,2,going to
3,2,going there
4,3,completed action
5,3,"sometimes translated as ""just"""
6,4,ride aboard (such as a boat)
7,5,yes
8,5,give permission
9,5,to assent
10,6,ten dollars
11,7,no
12,7,not
13,8,unmarried woman (she has no man)
14,9,nothing
15,9,doesn't exist
16,10,finished off
17,10,used up
18,10,gone
19,11,go to
20,11,go there
21,12,transfer
22,12,take over to
23,13,beautiful
24,13,"to be excellent, perfect"
25,13,clean
26,14,trade
27,15,"trade, exchange"
28,16,"good, to be good"
29,17,saint
30,17,be a good person
31,18,good day
32,19,"virgin, ""good woman"""
33,20,let's go
34,21,good manners
35,22,"""my goodness"""
36,22,expression of pleasure or surprise
37,23,bunch of
38,23,group of
39,23,bundle of
40,24,good
41,24,they're good
42,24,be good (plural)
43,25,here
44,25,right here
45,25,this one here
46,25,here it is
47,26,left here (?)
48,27,"lined up, laying in a row"
49,28,seal (small sized)
50,29,seal pup
51,30,"sharp, be sharp"
52,31,cod (rock cod)
53,32,then
54,33,I'm well
55,33,"I'm alright, fine, okay"
56,34,only
57,34,the only thing
58,35,forgive (I forgive you: “my thoughts become good/better”)
59,36,"it is, that's"
60,37,and
61,37,now
62,37,brings together two simultaneous events
63,37,particle that begins sentences in the present
64,38,and then
65,39,and
66,39,at that time
67,39,untranslatable
68,40,"pink: ""light red"""
69,41,first
70,41,be before
71,42,ancestors
72,42,people who came before
73,42,first people
74,43,ancestors
75,44,eating
76,45,saying what
77,46,paddling
78,47,sleeping
79,48,stepping on it
80,49,"there, near you"
81,50,kitchen
82,50,eating place
83,51,paddle (to paddle)
84,51,"make a canoe trip. Expression was used when a man and his helpers took food by canoe to his co-parent-in-law, father-in-law, or other male in-law (Suttles 1960: 300-1)"
85,52,paddle the canoe
86,53,happen
87,53,made to happen
88,54,"sleeping place, bedroom"
89,55,maybe
90,55,perhaps
91,56,change
92,57,funny
93,57,pleasant
94,57,amusing
95,57,happy
96,58,eggs (from English)
97,59,"custom, something usually done, done in a customary way, done according to tradition"
98,60,home
99,60,be at home
100,60,stay at home
101,61,board (go aboard)
102,62,load
103,62,put them aboard
104,63,"is it? , (request for information)"
105,64,oranges
106,65,gather
107,65,get something
108,66,gather
109,66,harvest
110,67,"at home, be at home (?)"
111,68,give away
112,69,"give, give someone something"
113,70,give it to me
114,71,given
115,71,someone is given something
116,72,give
117,73,apples
118,74,ten
119,75,seventeen
120,76,twelve
121,77,thirteen
122,78,fifteen
123,79,eleven
124,80,fourteen
125,81,eighteen
126,82,nineteen
127,83,sixteen
128,84,front
129,84,be in the front
130,85,canoe
131,85,war canoe
132,85,automobile
133,85,car (manner of conveyance
134,86,"no, not (to be not), never (introduces negative statements)"
135,87,nothing
136,87,to be empty
137,87,be without
138,88,nobody
139,88,"no one: ""without anyone"""
140,89,"ungrateful, unpleasant: ""his not being good"""
141,90,go at (toward)
142,91,"1. Placename: ""beautiful land"". The modern name for this place is Ashe Head at south end of Plumber Bay. The Songhees were moved here, the Maple Bank reserve, from the original Songhees Reserve at P’aləc’əs in the Inner Harbour"
143,92,smooth
144,92,really good (round)
145,93,crab
146,93,Dungeness crab
147,94,houses
148,94,his/her/their houses
149,95,hurry
150,95,speed up a little
151,96,"wipe, rub"
152,97,today
153,98,really should (emphatic imperative)
154,99,here
155,99,be here
156,99,be close to (the speaker)
157,100,deliver it
158,101,rise
159,102,sunrise
160,103,sunrise
161,104,allow
162,104,comply
163,105,"seal. Phoca vitulina. The rights to sealing rocks were oened by individual families. Seals might be clubbed on the rocks or netted or harpooned in a the water by a small crew (Barnett 1955:99, 251"
164,105,Suttles 1952:10)
165,106,done
166,106,said
167,106,say
168,107,"cod, (Gadidae) , ling cod. Cod were speared in the summer and early fall, and sun-dried or smoked. Oil was saved to pour on ceremonial fires to increase the blaze (Gunther 1927:199"
169,107,Stern 1934:49)
170,108,"1. wealth. Traditionally, Wealth consisted of blankets, which were the most important item, baskets, shell ornaments, hide shirts, bows and arrows, canoes and slaves: goods ""of varying utility but relatively imperishable"" which"
171,109,I am eating
172,110,"clothed, be clothed"
173,110,dressed
174,111,clothing
175,112,eat
176,113,will eat
177,114,"eat, you eat"
178,115,"eat, to eat"
179,116,saying what
180,117,grandchild
181,118,step on it
182,119,step on it (he/she/it/they)
183,120,"sleep, be asleep"
184,121,sleep (I am/was asleep)
185,122,scrape
186,122,it scrapes
187,123,indirect particle that shows the object of an (intransitive) verb
188,123,comes before a pronoun. Similar to prepostion
189,123,"with, that, to, of"
190,124,first
191,124,be before
192,125,dressing
193,125,getting dressed
194,126,show you
195,127,learning it (to be learning)
196,128,learn it
197,129,it is learned
198,129,taught
199,129,shown (to be shown)
200,129,be taught
201,130,hear you
202,131,crabs
203,132,"hear (by mistake), overheard"
204,133,hear
205,133,listen
206,134,seals (plural)
207,135,halved
208,135,be half
209,135,cut in half
210,136,half
211,136,be a half
212,137,chewing pitch (gum)
213,138,person
214,138,a people
215,139,"person, people, to be human"
216,140,"prefix meaning ""while""?"
217,141,heartburn
218,142,from
219,142,at a place
220,142,with
221,142,of
222,143,hunt (be a great hunter)
223,144,hunt
224,144,be a hunter
225,145,sit down (command)
226,145,be sat down
227,146,little
228,146,be small (stative verb)
229,147,kindling (little firewood)
230,148,sit down
231,149,toilet
232,150,urinate
233,150,go to the toilet
234,151,pigeon
235,152,gum (your gum)
236,153,very
237,153,be so
238,154,come
239,154,she/he/they come
240,155,bring
241,156,keep still
242,157,why/how you finally (could) eat
243,158,grandchildren
244,159,hits
245,159,pounds
246,159,he/she/they pound him/her/them (unconfirmed)
247,160,great great grandparents
248,160,great grandchildren
249,161,behind (to be behind)
250,162,relativizer
251,162,follows question constructions
252,163,worn out
253,164,formed
254,164,be shaped
255,165,"crowded, full"
256,165,to be a crowd
257,166,fixed
258,166,be ready
259,166,prepared
260,167,frozen
261,167,being frozen
262,167,
263,168,be frozen
264,168,cause it to be frozen
265,169,full of food
266,169,be full
267,170,"in, be inside"
268,171,not know how (to do something)
269,172,gathered together
270,172,they are gathered together
271,173,foreign people
272,173,people not of your group or tribe
273,174,all together
274,175,roasted
275,175,cooked
276,176,"row, line, single file"
277,177,split
278,177,it is split
279,178,tight
280,179,near
281,179,be beside
282,179,close
283,179,next to
284,180,broken
285,180,be broken
286,180,shattered
287,181,closed
288,181,it's closed
289,181,all closed up
290,182,"awake, be awake"
291,182,stay awake
292,183,"awaking, being awake"
293,183,staying awake
294,184,"dried, be dried"
295,185,sick
296,185,is sick
297,185,he is (very) sick
298,186,sicken
299,186,become sick
300,187,lie on your back
301,188,how is it? how is s/he?
302,188,which
303,188,how much
304,188,how many
305,189,prepared
306,189,be prepared
307,190,it was prepared
308,190,it was made to be ready
309,191,this (female) person
310,191,these (female) people. Used when person is nearby
311,192,before
312,192,be before (in space)
313,192,be in front of
314,192,
315,193,open
316,193,be open
317,193,it is opened
318,194,closed
319,194,it's closed
320,194,all closed up
321,195,today
