id,word_id,note
1,1,"ʔaʔ		
if"
2,91,"2. in 1911. They built five canoe houses facing the beach. From East to West, they were owned by Chief Michael Cooper, William Roberts, Jimmy Fraser, Jimmy Johnny (Father of Sophie Mishael), and Alex Peter with Jack Dick. The
3. southern bank of the peninsula was used as a burial midden."
3,108,"2. could be ceremonially distributed to enhance the prestige of the giver (Suttles 1960:301). Food was not considered wealth, but a surplus might be given away with the expectation that wealth would be received in return
3. (Suttles h.the 1960:298)."
4,314,"2. of their homes being at the bottom of a hill. This area is called McNeill Bay or Shoal Bay today. This is the name of the family which signed the Douglas Treaty (spelled Chilkowitch on the treaty). Chief číɫəm (spelled
3. Chayth-lum on the treaty)of this family was the highest Songhees chief."
5,317,"2. Klallam First Nation. They are now called Scia’new). The name most likely comes from a word meaning fish. The Lək̓wángən word is sčeenəxʷ (schenuhw). There is also a reefnet site with the same name, to the east of the mouth
3. of the bay."
6,377,2. non-specific time or place in the future or past.
7,620,"2. killer whales at death; the orca spirit is associated with x̣ənx̣ənítəl (Barnett 1955:63, 93: Stern 1934:87)."
8,718,2. and Cordova Bay on the south-eastern tip of Vancouver Island (Duff 1964:28)
9,846,2. indicated a small Coho creek nearby.
10,976,2. launched across a field toward a goal.
11,986,"2. Juan and Henry Islands. There was another location at Becher Bay at East Sooke, similarly named məq’a’as"
12,997,2. the reef net site at Beechey Head was called Maqʷa’as. See entry for Nəxʷkʷic̓ec̓əŋ (Nuhwkwits̓ets̓ung).
13,1020,"2. 1974:192). The fishing sites of this area were very important since they were the first sites the salmon (beginning with the sockeye) would pass by on their way to the Fraser and other major rivers. When the Xwsepsum and
3. Songhees heard that the T’sou-ke were catching fish, they knew it was time to make the final preparations of their nets and canoes."
14,1057,2. reefnet site with the similar name of Nuhwkwits’ets’ung off Beechey Head.
15,1122,"2. tents, and sails. Edward Joe said people used to bring canoe loads of gravel (presumably to build pathways) because the ground was so muddy."
16,1139,"2. stream, with fish coming all the way up the Gorge, or Q’umasung waterway. Songhees Elder Frank George mentions the salmon and herring that would come up the waterway."
