id,lekwungen_word
1,WORD
2,ʔaʔáx̣ʷ
3,ʔal̓
4,ʔal̓ələɬ
5,ʔanáɬ
6,ʔapənelətxʷ
7,ʔawə
8,ʔawəne swáy̓qeʔs
9,ʔawənə
10,ʔaw̓k̓ʷ
11,ʔax̣ʷ
12,ʔax̣ʷtxʷ
13,ʔayʔáy̓mət
14,ʔayéq
15,ʔayéqtal
16,ʔay̓
17,ʔay̓ ʔəɬtélŋəxʷ
18,ʔay̓ skʷečəl
19,ʔay̓ sɬéni
20,ʔay̓ stiʔ ; ʔay̓ steʔ
21,ʔay̓ šxʷəsaʔay̓s
22,ʔečənéʔ
23,ʔelčɬ
24,ʔeli
25,ʔeɬti
26,ʔeɬtítəŋ
27,ʔest̓ánʔəɬ
28,ʔesxʷəɬ
29,ʔesʷśaləɬ
30,ʔeyáʔs
31,ʔeyáθəθən
32,ʔəw̓ (ʔo')
33,ʔəw̓ ʔáy̓ sn̓ ʔal̓
34,ʔəw̓ hay ʔal̓
35,ʔəw̓ txʷəʔáy̓ ʔal̓ nəxčəŋin
36,ʔəw̓níɬ
37,ʔi
38,ʔi ʔəw̓
39,ʔiʔ
40,ʔiʔ ʔáləs nəsə́qʷ
41,ʔiʔɬčél̓ə
42,ʔiʔɬčél̓ə ʔəɬtélŋəxʷ
43,ʔiʔɬčéɬŋəxʷ
44,ʔiʔɬn
45,ʔiʔnət
46,ʔiʔst
47,ʔiʔtət
48,ʔiʔ́ŋət
49,ʔiɬe
50,ʔiɬənʔéw̓txʷ
51,ʔist
52,ʔist tə snəxʷəɬ
53,ʔistxʷ
54,ʔitətʔéw̓txʷ
55,ʔiwéwə
56,ʔiyeqt
57,ʔiyəs
58,ʔiks
59,ʔáʔəxʷ
60,ʔáaʔmət
61,ʔáal̓əɬ
62,ʔáal̓əɬtxʷ
63,ʔáčə
64,ʔálənčəs
65,ʔáləx̣
66,ʔáləx̣əts
67,ʔámətəŋ
68,ʔáŋələ
69,ʔáŋəst
70,ʔáŋəstaŋəs
71,ʔáŋəstəŋ
72,ʔáŋəxʷ
73,ʔápəls
74,ʔápən
75,ʔápən ʔiʔ kʷ c̓ákʷəs
76,ʔápən ʔiʔ kʷ čəsə
77,ʔápən ʔiʔ kʷ ɬixʷ
78,ʔápən ʔiʔ kʷ ɬq̓éčəs
79,ʔápən ʔiʔ kʷ nə́c̓ə
80,ʔápən ʔiʔ kʷ ŋəs
81,ʔápən ʔiʔ kʷ tésəs
82,ʔápən ʔiʔ kʷ təkʷəxʷ
83,ʔápən ʔiʔ kʷ t̓x̣əŋ
84,ʔásəs
85,ʔátx̣əs
86,ʔáwə
87,ʔáwənə
88,ʔáwənə sén
89,ʔáwəs ʔay̓
90,ʔáx̣ʷnəs
91,ʔáy̓əlŋəxʷ
92,ʔáy̓ələs
93,ʔéʔčəx̣
94,ʔéʔlələŋs
95,ʔéʔəɬ
96,ʔéč̓ət
97,ʔéenəkʷ
98,ʔékʷə
99,ʔéɬeʔ
100,ʔéməq̓t
101,ʔénəŋ
102,ʔénəŋ cə sqʷəqʷə́l̓
103,ʔénəŋ tə sqʷəqʷə́l
104,ʔénət
105,ʔésxʷ
106,ʔéx̣əŋ
107,ʔéyət
108,ʔéyəwk̓ʷ
109,ʔíʔɬən sən; ʔíʔɬn̓ sn̓
110,ʔíc̓əŋ
111,ʔíc̓əŋ
112,ʔíɬn̓
113,ʔíɬn̓ səʔ
114,ʔíɬən sxʷ ; ʔíɬn̓ šxʷ
115,ʔíɬən; ʔíɬn̓
