Lekwungen Word,English Translation
ʔaʔ,if
ʔaʔáx̣ʷ,going to; going there
ʔal̓,"completed action; sometimes translated as ""just"""
ʔal̓ələɬ,ride aboard (such as a boat)
ʔanáɬ,yes; give permission; to assent
ʔapənelətxʷ,ten dollars
ʔawə,no; not
ʔawəne swáy̓qeʔs,unmarried woman (she has no man)
ʔawənə,nothing; doesn't exist
ʔaw̓k̓ʷ,finished off; used up; gone
ʔax̣ʷ,go to; go there
ʔax̣ʷtxʷ,transfer; take over to
ʔayʔáy̓mət,"beautiful; to be excellent, perfect; clean"
ʔayéq,trade
ʔayéqtal,"trade, exchange"
ʔay̓,"good, to be good"
ʔay̓ ʔəɬtélŋəxʷ,saint; be a good person
ʔay̓ skʷečəl,good day
ʔay̓ sɬéni,"virgin, ""good woman"""
ʔay̓ stiʔ ; ʔay̓ steʔ,let's go
ʔay̓ šxʷəsaʔay̓s,good manners
ʔečənéʔ,"""my goodness""; expression of pleasure or surprise"
ʔelčɬ,bunch of; group of; bundle of
ʔeli,good; they're good; be good (plural)
ʔeɬti,here; right here; this one here; here it is
ʔeɬtítəŋ,left here (?)
ʔest̓ánʔəɬ,"lined up, laying in a row"
ʔesxʷəɬ,seal (small sized)
ʔesʷśaləɬ,seal pup
ʔeyáʔs,"sharp, be sharp"
ʔeyáθəθən,cod (rock cod)
ʔəw̓ (ʔo'),then
ʔəw̓ ʔáy̓ sn̓ ʔal̓,"I'm well; I'm alright, fine, okay"
ʔəw̓ hay ʔal̓,only; the only thing
ʔəw̓ txʷəʔáy̓ ʔal̓ nəxčəŋin,forgive (I forgive you: “my thoughts become good/better”)
ʔəw̓níɬ,"it is, that's"
ʔi,and; now; brings together two simultaneous events; particle that begins sentences in the present
ʔi ʔəw̓,and then
ʔiʔ,and; at that time; untranslatable
ʔiʔ ʔáləs nəsə́qʷ,"pink: ""light red"""
ʔiʔɬčél̓ə,first; be before
ʔiʔɬčél̓ə ʔəɬtélŋəxʷ,ancestors; people who came before; first people
ʔiʔɬčéɬŋəxʷ,ancestors
ʔiʔɬn,eating
ʔiʔnət,saying what
ʔiʔst,paddling
ʔiʔtət,sleeping
ʔiʔ́ŋət,stepping on it
ʔiɬe,"there, near you"
ʔiɬənʔéw̓txʷ,kitchen; eating place
ʔist,"paddle (to paddle); make a canoe trip. Expression was used when a man and his helpers took food by canoe to his co-parent-in-law, father-in-law, or other male in-law (Suttles 1960: 300-1)"
ʔist tə snəxʷəɬ,paddle the canoe
ʔistxʷ,happen; made to happen
ʔitətʔéw̓txʷ,"sleeping place, bedroom"
ʔiwéwə,maybe; perhaps
ʔiyeqt,change
ʔiyəs,funny; pleasant; amusing; happy
ʔiks,eggs (from English)
ʔáʔəxʷ,"custom, something usually done, done in a customary way, done according to tradition"
ʔáaʔmət,home; be at home; stay at home
ʔáal̓əɬ,board (go aboard)
ʔáal̓əɬtxʷ,load; put them aboard
ʔáčə,"is it? , (request for information)"
ʔálənčəs,oranges
ʔáləx̣,gather; get something
ʔáləx̣əts,gather; harvest
ʔámətəŋ,"at home, be at home (?)"
ʔáŋələ,give away
ʔáŋəst,"give, give someone something"
ʔáŋəstaŋəs,give it to me
ʔáŋəstəŋ,given; someone is given something
ʔáŋəxʷ,give
ʔápəls,apples
ʔápən,ten
ʔápən ʔiʔ kʷ c̓ákʷəs,seventeen
ʔápən ʔiʔ kʷ čəsə,twelve
ʔápən ʔiʔ kʷ ɬixʷ,thirteen
ʔápən ʔiʔ kʷ ɬq̓éčəs,fifteen
ʔápən ʔiʔ kʷ nə́c̓ə,eleven
ʔápən ʔiʔ kʷ ŋəs,fourteen
ʔápən ʔiʔ kʷ tésəs,eighteen
ʔápən ʔiʔ kʷ təkʷəxʷ,nineteen
ʔápən ʔiʔ kʷ t̓x̣əŋ,sixteen
