english,lummi
Butter Clam,Soxwe
Cockle Clam,SLho'em
Steamer clam,SkweLhey'
Oyster,T'Lexw T'Lexw
Horse Clam,Swam
Mussel,Lhaoqem
Barnacles,Tsemie
Crab,Atchx
Shrimp,TLemwechen
Small sea Urchin,Sqw'itsi
big sea urchin,Xaox
Sea Cucumber,Tsikwt
Anemone,SLhoLex
Starfish,T'omeLtL'e
Sea Otter,Temes
Sea Lion,Eshes
Whale,Qwenes
Seal,Ashxw
octopus,Skamoux
Salmon,Schaenexw
Pink Salmon / Humpy,Henen
Dog Salmon / Chum,Quoloux
Silver Salmon / Coho,Q'echqs
King Salmon / Chinook,Yomech
Sockeye,Seki
Trout,Ts'sqwey'
Flounder,Powi'
Grunter,Sqwa'
Herring,SLho'nget
Smelt /Hooligan,Q'eLhs
Dog fish,Sky'ekshen
Steelhead,Q'ixw
Sturgeon,Skwawach
Rat fish,Sqemene
Skate fish,Q'aqo
Eel,Lelesen
Ling cod,Y'yet
Halibut,So'tx
Strawberries,TiLeqw
Blackberries,SqeLaLnexw
Salmon Berry,ELiLe
Black Cap,Chilqwome
Thimble berry,Teqwem
Blue berry,MoLsem
Salal Berry,Taqe'
Huckleberry,Spixw'
Soap Berry,Sxwaasem
Elder berry,Tsiweq'
Mountain Blueberries,WhomeLes
Gooseberry,Temxw
Snow Berry,Pepiyes
Oregon grape,Seni
Berries,SeLhteneng
Winter,Chen Ts'ixweng
Clear Skies,Ey' iLeng
Wind,P'xweLe
Rain,Lhemexw
Fog,Spaxweng
Summer,Chen KwaeLes
Cold (Weather),Ts'ixweng
Snowing,Chiekw
Snow On the ground,Ngake
Hail,TLemxwiLe
Raining,Lhemxw
Warm / Hot,Kwaeles
Weather,Skwey'eLe
North wind,Schoy'em
Continuous wind,SpxweLe
Mist Light rain,LheLhemexw
Sun,Sqw'qweL
Sunshine,Esiteng
East wind,Sches
Breeze,PexwiLe
South wind,Sqa'anget
Stormy,HoteLh
West wind,Stiwet
Dawn,Ta'tu
Dark,Lhach
Fire,Chekos
Make a fire,Chekwiws
Salt water,TL'aLh
Moon,TLe'tLach
Whirl wind / Whirl Pool,Schonges
Fall,PixweL
Spring,Pexwsiseng
Color,Q'etLe
Shadow,Q'eq'etLe
Brown,Nekwiem
Black,Neqax
Blue,Chie' oLes
Light Blue,Ney'eq
Yellow,Neqwey'
Yellowish green,Ts'epopeL
Green,NetL'eLh
Red,Neseq'
Pink,Nesq' oLes
White,Peq'
Orange,KwiemeL
Dark Grey,Q'exeL
Rainbow,Xweteshen
Animals,TetoseLnexw
Frog,Wexes
Rabbit,Hepit
Skunk,Smemetsen
Squirrel,Ts'epsiosen
Fierce animal,Q'etoseLnexw
Rat,Kwaten
Possum,Sq'eLhten
Mole,SpiLawen
Mink,Chieqen
Bob Cat,Kwechpish
Raccoon,Sxy'ekwes
Porcupine,Tse'TseLq'en
Lynx,Skets
Cougar,Shwowe
Chipmunk,Kwepichen
Snake,SoLhqe
Wolf,Steqey'e
Black Bear,Schetxwen
Deer,Smey'es
Elk,Kwawach
grizzly bear,Kwey'etchen
Good,Ey'
Morning,Skwechil
Afternoon,Skwey'el
Evening,Tengen
Night,Snat
Hello,Now'
See you later,Langnexw sen -se
Done/Finished/Complete,Hoy'
Goodbye (Staying),Hoy'ekw
Goodbye (Leaving),Hoy'kwche
I'm good,Ey' sen
Territory,Schetenexwen
Bellingham,Xwotqwem
Ferndale,Titisen
Nooksack,Nexw Ts'aq
Squalicum,Qwolouxqem
Sehome,Sy'hom
Chuckanut,Nexw T'chekenets
Lummi,Nexw XwLemi
Portage,SiLes
Lummi Island,Smemiekw
Gooseberry Point,Tamxwiqsen
Fairhaven,SiseLech
Village Point,SkyLekshen
Deep Water Bay,PisheLaqen
Lummi Bay,MomLi
West Shore Village,T'Lopi
Mt. Baker,KweLshan
Sandy Point,Sly'eksen
Stommish Grounds,Wexlium
Birch Bay,Ts'awex
to Walk,Sheteng
to Run,Kwoninget
to Think,Kwenekwan
to Sleep,it't
to Eat,iLhen
to Work,SChay'
to make,Chay'
to Write,XeLet
Jump,Xwiteng
to Sit,Emet
to Look / See,Langet
To stand,SiLheng
to play,Emna'
to swim,Shishqwom
to talk,Qwal
To Hear,Xwian
To Listen,ELanen
to Train,Kwechost
to Know,Xchit
They're thinking,Kwenekwan-s
the dog is running,Kwoninget tse Skwemey'
the cat is walking,Sheteng tse Pish
to go across,ShoqweL
to go around,KeLiset
Duck,Moekw
Canoe,Snekwlh
Cattail Mat,Slawen
Story,Sxwiam
