english,lummi
1,nüt′sa
10,o′pün
100,nat-sa-wütsh
1000,o-päntsh
_Personal Cardinals,-_
11,ó-pün it nüt′sa
12,ó-pün it chüs′sa
2,chüs′sa
20,"tsük-küs, tsük-wüs"
_Cardinals of Valuation,-_
3,klikhw
30,kl-whl-shá
4,ng-oss′
40,nüsl-shá
5,kl-kats′
50,küts'hl-shá
6,t'hünkh
60,tükh-hüm-shá
7,tsákws
70,skwl-shá
8,tats
80,tüsl-shá
9,tük'hw
90,to-wol-shá
A dressed skin,hül-la-kan
ABOVE,se-suk′tl
ADZE,s'chüm′mün
AFRAID,sái-sin
AFTER,il-kwâ-wüs
Afternoon,Skwey'el
ALDER,skwang-l'tch
ALIVE,"hal-ikh, hal-lé"
ALL,"makw, mokw"
Also,Tl'al
ALWAYS,"wai, wa-hái, o-wái-la;"
_always so_,wa-hái-yu shüng angs
Am,Do, Are,U'
And,I
And you,I' tse nekw
Anemone,SLhoLex
ANGRY,kwin-tün
Animals,TetoseLnexw
Arbutus (_A. Menzesii_),kō-kwéltsh
ARM,ta′lo;
_my arm_,n′ta′lo;
_right arm_,si-lä-me′ūs;
_left arm_,suk-kwe′ūs
ARROW,yitcht
ASHES,kwái-chp
AT,"_to be at_, lä-si _or_ lak-si;"
_he is at Lummi_,lä-si la Nūkh-lüm′mi
Atlas joint,kük-kak-w'chis
Aunt,shé-ilsh
Autumn,"chits-at-lin, tsa-whéngst"
AXE,"ku′küm. (küm-müt, _to chop_.)"
BACK,"_the_, stas-kwitl"
BAD,"h'äs, s'häs"
BAG _or sack_,chu-kwal′
BAIL A BOAT,"_to_, chi-kwást;"
(_in Simiamoo_),kwül′lüt
BALD,ko′a-lekw
bald eagle,yükh-wül-la
Barberry,skwâ-cha-sitsh
BARK,"_of the fir_, chül′li;"
_of the cedar_,sl-kwüm′
Barnacle,süm-mai-ya
Barnacles,Tsemie
BASKET,"_potato basket_, kl-päk;"
_load basket_,s'pi-chä;
_small basket_,pep-chälkh
BE,"_to_, _See ""at,"" ""live.""_"
_It is in the house_,lâk-si á-lung
be quiet,semexw
Beach Birds,"small snipe (_?generic_), pel-latsh, skeks"
BEADS,"_large blue kind_, shkwe′-kwün;"
_small white do._,tsüts-hüt;
_small green beads_,tchi-kwül-lekh′
Beak,nük′sünsh (v. _nose_)
BEAR,"_black_, schüt′hün;"
_grizzly_,kwe′chin
BEARD,kwin′s'n;
_moustache_,kwinks
BEAVER,skül-láu
BEFORE (_in point of time_),kwül-hés-lüt-sin
Bellingham,Xwotqwem
BELLY,"kwül′la, kläs"
BELOW,kläkhl
berries,selhteneng
Berries of do.,kül-lük
Big horn (_ovis montana_),kwe-kwüt-chen
big sea urchin,Xaox
Birch,kats-ül′tch
